tweet_id,text
1018238832754479108,"Hoe kunnen mensen een avondje lekker lezen op de balkonbank saai noemen? Vind het heerlijk!  #nerd #boekenwurm"
1018239440785944577," #Nerd #Geek #GeekGirl https://t.co/7uVXqyOtPI"
1018239525687119877,"A few little additions to my nerd shelf.  #gamer #videogames #supermario #supermariobros #1up #streamer #twitch… https://t.co/KV1dS2qPdW"
1018243265156534272,"Reposting @developerstruggles: - via @Crowdfire #developer #programmer #macbook #apple #laptop #technology… https://t.co/mjaVo2ygDz"
1018243513643921408," Zotac MAGNUS Gaming ZBOX for $559.99Extra 20% off w/ Promo Code: 705MQTYS20https://t.co/QaM0y1wy35… https://t.co/39KAME2ZE6"
1018243556224446465,"When you do anything to entertain the child but he is not having any of it. ....#nerd #dork #geek #nephew… https://t.co/0V7iIxudC6"
1018243677850947584,"RT @SuperDealsite:  Zotac MAGNUS Gaming ZBOX for $559.99Extra 20% off w/ Promo Code: 705MQTYS20https://t.co/QaM0y1wy35#gamingnews #g…"
1018243910911619072,"RT @SleekDeals:  Amazon Echo Dot 2nd Gen for $23.87!Here https://t.co/w4EY0Fkmuo#geek #deals #tech #amazon #home #gamedev #gadgets #fa…"
1018244091505623040,"If trapped in an elevator with JJ Abrams and after establishing a poop corner for the duration I would see if he… https://t.co/IOVLJt3dRM"
1018244366878609411,"RT @SmilezzNetwork: Reposting @developerstruggles: - via @Crowdfire #developer #programmer #macbook #apple #laptop #technology #gadgets #i…"
1018244727123185665,"This is definitely #LukeSkywalker at the end of #thelastjedi. The projected version that is and it’s by #hottoys. S… https://t.co/3auIBThFEF"
1018244749696872448,"RT @SmilezzNetwork: Reposting @developerstruggles: - via @Crowdfire #developer #programmer #macbook #apple #laptop #technology #gadgets #i…"
1018245637673013249,"RT @Mgellis15:     A hero from the Philippines.  #DnD #dnd5e #games #gaming #gamergirl #nerd #geek #geekgirl #writing #f…"
1018246728246550529,"RT @Midsummer1942: Last #Warcraft related one for now! #EtsySeller #Etsyshop #Etsy #Colors #Colorful  #Handmade #MidsummerArt #Commissions…"
1018246742834368517,"Let's go #streams live yall!! #fortnite #SupportSmallStreamers #LetsGo #nerd #twitch"
1018247146632433664,"RT @DouglasDavies17: Let's go #streams live yall!! #fortnite #SupportSmallStreamers #LetsGo #nerd #twitch"
1018247296897699840,"Detroit prestes a ganhar estátua do Robocop #nerd #old  https://t.co/W22RMCYixY"
1018247407522500609,"So anyone feel like Bleach copied Yu Yu Hak. when it came to story? -CaptainJ #anime #nerd"
1018247452023971840,"#art #artistic #artsy #artskills #artstyle #arte #localartist #artistsoninstagram #sketch #drawing #wip #comics… https://t.co/kVu21sPZr4"
1018247649324085251,"#StarWars #Nerd https://t.co/HFkohzoAuF Star Wars Street Art Van https://t.co/T9WfHzyOpp"
1018247956439470085,"N‘Abend ich bin den lieben @tim.mosh @missdisney591 und @jan27k noch ein #showyourshirt schuldig. Da ich gerade au… https://t.co/KHROhsWCKu"
1018248639221813253,"N.E.R.D •Highlight of the day weekend year. Got to shoot my all time fav's nerd •#nerd… https://t.co/t2SW5ehoGY"
1018248667214503936,"Just introduced some guys to #BlackLightening. They like it...but said it was soft play in comparison to… https://t.co/dNPVrAHS2N"
1018248708314599426,"#Fortnite #battleroyale #nerd #GG #epicgames #PS4sharehttps://t.co/vjiDKbY2qC https://t.co/8MoqBaoHZ5"
1018248806708674560,"#positivity Always love.#f4f  #gamer #twitchstreamer #twitch #twitchtv #livestream #success #twitchfam #motivation… https://t.co/IMysR27aqP"
1018248997029498881,"@ProfBrianCox just downloaded SkyView lite on phone and it’s amazing when you point it in the sky it tells you what… https://t.co/0129dJ0dcz"
1018249336763760640,"Aqui de boa no lançamento dos novos cadernos da modocromatico. Vem que estaremos por aqui até as 21:00 #rpg #nerd… https://t.co/hJj3iJg5HS"
1018226092090560513,"Marvel 101#Nerd#Marvel#BecauseReasons https://t.co/8NvtUMBjTu"
1018250077327028225,"Another #sentai Buy from @Jungle_LA was #goseiger mech Tensou Henkei Hosei Ultimate! My 1st visit to… https://t.co/egn0o5pdIe"
1018250401823559680,"I'm LIVE on Twitch!  Please join me!  https://t.co/JpK35R7g81#Twitch #Streamer #Gaming #Geek #Nerd #Overwatch"
1018250481481732097,"Nothing more satisfying than being a dps and running dungeons with a high healer #blessed #neverdead #nerd #dps… https://t.co/urheZsN8oJ"
1018250716505255936,"I called my son a #geek today because he has been wearing this practically nonstop since he got it last Christmas.… https://t.co/NwkAAYBJPz"
1018251476139945984,"RT @Samgrias: Nothing more satisfying than being a dps and running dungeons with a high healer #blessed #neverdead #nerd #dps #gamer #Plays…"
1018252079377342464,"#darthvader #sideshow #sideshowcollectibles #geek #nerd #art #comicartist #chriscampana https://t.co/fUdI8XKbTH"
1018252268108476423,"Einar: i can put a wall between you and me to shield you from the screen lightsGwen: *Dupont Ricardo voice* THERE… https://t.co/wQ4MjXObw1"
1018252870259486721,"RT @FlintlocksDnD: An old favourite... #Dnd #dndtwitter #podcast #ttrpg #dnd5e #nerd #geek #gaming #actualplay #dndmemes https://t.co/sJbJ7…"
1018254341424087040,"RT @BEWBIE3: #positivity Always love.#f4f  #gamer #twitchstreamer #twitch #twitchtv #livestream #success #twitchfam #motivation #twitchaff…"
